id,profession,image_link,internal_id,name,learned_from,skill_required,action,result,armor_class,item_quality,item_slot
29,Alchemy,imgs/Alchemy/id1710.png,id1710,Greater Healing Potion,trainer,155,Use: Restores 455 to 585 health. ,1,None,Common,
30,Alchemy,imgs/Alchemy/id3827.png,id3827,Mana Potion,trainer,160,Use: Restores 455 to 585 mana. ,1,None,Common,
31,Alchemy,imgs/Alchemy/id3823.png,id3823,Lesser Invisibility Potion,trainer,165,Use: Gives the imbiber lesser invisibility for 15 seconds. ,1,None,Common,
32,Alchemy,imgs/Alchemy/id3824.png,id3824,Shadow Oil,recipe,165,Use: When applied to a melee weapon it gives a 15% chance of casting Shadowbolt III at the opponent when it hits.  Lasts 30 minutes. ,1,None,Common,
33,Alchemy,imgs/Alchemy/id6049.png,id6049,Fire Protection Potion,recipe,165,Use: Absorbs 975 to 1625 fire damage.  Lasts 60 minutes. ,1,None,Common,
34,Alchemy,imgs/Alchemy/id3825.png,id3825,Elixir of Fortitude,recipe,175,Use: Increases the player's maximum health by 120 for 60 minutes. ,1,None,Common,
35,Alchemy,imgs/Alchemy/id5633.png,id5633,Great Rage Potion,recipe,175,Use: Increases Rage by 30 to 60. ,1,None,Common,
36,Alchemy,imgs/Alchemy/id3826.png,id3826,Mighty Troll's Blood Potion,recipe,180,Use: Regenerate 12 health every 5 sec for 60 minutes. ,1,None,Common,
37,Alchemy,imgs/Alchemy/id8949.png,id8949,Elixir of Agility,trainer,185,Use: Increases Agility by 15 for 60 minutes. ,1,None,Common,
38,Alchemy,imgs/Alchemy/id6050.png,id6050,Frost Protection Potion,recipe,190,Use: Absorbs 1350 to 2250 frost damage.  Lasts 60 minutes. ,1,None,Common,
39,Alchemy,imgs/Alchemy/id6052.png,id6052,Nature Protection Potion,recipe,190,Use: Absorbs 1350 to 2250 nature damage.  Lasts 60 minutes. ,1,None,Common,
40,Alchemy,imgs/Alchemy/id17708.png,id17708,Elixir of Frost Power,recipe,190,Use: Increases spell frost damage by up to 15 for 30 minutes. ,1,None,Common,
41,Alchemy,imgs/Alchemy/id3828.png,id3828,Elixir of Detect Lesser Invisibility,recipe,195,Use: Grants detect lesser invisibility for 10 minutes. ,1,None,Common,
42,Alchemy,imgs/Alchemy/id8951.png,id8951,Elixir of Greater Defense,trainer,195,Use: Increases armor by 250 for 60 minutes. ,1,None,Common,
43,Alchemy,imgs/Alchemy/id3829.png,id3829,Frost Oil,recipe,200,Use: When applied to a melee weapon it gives a 10% chance of casting Frostbolt at the opponent when it hits.  Lasts 30 minutes. ,1,None,Common,
44,Alchemy,imgs/Alchemy/id10592.png,id10592,Catseye Elixir,trainer,200,Use: Slightly increases your stealth detection for 10 minutes. ,1,None,Common,
45,Alchemy,imgs/Alchemy/id8956.png,id8956,Oil of Immolation,trainer,205,Use: Does 50 fire damage to any enemies within a 5 yard radius around the caster every 3 seconds for 15 seconds ,1,None,Common,
46,Alchemy,imgs/Alchemy/id6149.png,id6149,Greater Mana Potion,trainer,205,Use: Restores 700 to 900 mana. ,1,None,Common,
47,Alchemy,imgs/Alchemy/id9036.png,id9036,Magic Resistance Potion,recipe,210,Use: Increases your resistance to all schools of magic by 50 for 3 minutes. ,1,None,Common,
48,Alchemy,imgs/Alchemy/id4623.png,id4623,Lesser Stoneshield Potion,recipe,215,Use: Increases armor by 1000 for 1 minutes 30 seconds. ,1,None,Common,
49,Alchemy,imgs/Alchemy/id9030.png,id9030,Restorative Potion,trainer,215,"Use: Removes 1 magic, curse, poison or disease effect on you every 5 seconds for 30 seconds. ",1,None,Common,
50,Alchemy,imgs/Alchemy/id3928.png,id3928,Superior Healing Potion,trainer,215,Use: Restores 700 to 900 health. ,1,None,Common,
51,Alchemy,imgs/Alchemy/id18294.png,id18294,Elixir of Greater Water Breathing,trainer,215,Use: Allows the Imbiber to breathe water for 60 minutes. ,1,None,Common,
52,Alchemy,imgs/Alchemy/id9144.png,id9144,Wildvine Potion,recipe,225,Use: Restores 1 to 1500 health and 1 to 1500 mana. ,1,None,Common,
53,Alchemy,imgs/Alchemy/id9154.png,id9154,Elixir of Detect Undead,trainer,230,Use: Shows the location of all nearby undead on the minimap for 60 minutes. ,1,None,Common,
54,Alchemy,imgs/Alchemy/id12190.png,id12190,Dreamless Sleep Potion,trainer,230,Use: Puts the imbiber in a dreamless sleep for 12 seconds.  During that time the imbiber heals 1200 health and 1200 mana. ,1,None,Common,
55,Alchemy,imgs/Alchemy/id9155.png,id9155,Arcane Elixir,trainer,235,Use: Increases spell damage by up to 20 for 30 minutes. ,1,None,Common,
56,Alchemy,imgs/Alchemy/id9172.png,id9172,Invisibility Potion,recipe,235,Use: Gives the imbiber invisibility for 18 seconds. ,1,None,Common,
57,Alchemy,imgs/Alchemy/id9179.png,id9179,Elixir of Greater Intellect,trainer,235,Use: Increases Intellect by 25 for 60 minutes. ,1,None,Common,
58,Alchemy,imgs/Alchemy/id9088.png,id9088,Gift of Arthas,recipe,240,"Use: Increases resistance to shadow by 10.  If an enemy strikes the imbiber, the attacker has a 30% chance of being inflicted with disease that increases their damage taken by 8 for 3 minutes.  Lasts for 30 minutes. ",1,None,Common,
59,Alchemy,imgs/Alchemy/id9187.png,id9187,Elixir of Greater Agility,trainer,240,Use: Increases Agility by 25 for 60 minutes. ,1,None,Common,
60,Alchemy,imgs/Alchemy/id9197.png,id9197,Elixir of Dream Vision,recipe,240,Use: Gives you a dream vision that lets you explore areas that are too dangerous to explore in person. ,1,None,Common,
61,Alchemy,imgs/Alchemy/id9206.png,id9206,Elixir of Giants,recipe,245,Use: Increases your Strength by 25 for 60 minutes. ,1,None,Common,
62,Alchemy,imgs/Alchemy/id9264.png,id9264,Elixir of Shadow Power,recipe,250,Use: Increases spell shadow damage by up to 40 for 30 minutes. ,1,None,Common,
63,Alchemy,imgs/Alchemy/id9224.png,id9224,Elixir of Demonslaying,recipe,250,Use: Increases attack power by 265 against demons.  Lasts 5 minutes.   ,1,None,Common,
64,Alchemy,imgs/Alchemy/id9233.png,id9233,Elixir of Detect Demon,trainer,250,Use: Shows the location of all nearby demons on the minimap for 60 minutes. ,1,None,Common,
65,Alchemy,imgs/Alchemy/id3387.png,id3387,Limited Invulnerability Potion,recipe,250,Use: Imbiber is immune to physical attacks for the next 6 seconds. ,1,None,Common,
66,Alchemy,imgs/Alchemy/id13442.png,id13442,Mighty Rage Potion,recipe,255,Use: Increases Rage by 45 and increases Strength by 60 for 20 seconds. ,1,None,Common,
67,Alchemy,imgs/Alchemy/id13443.png,id13443,Superior Mana Potion,recipe,260,Use: Restores 900 to 1500 mana. ,1,None,Common,
68,Alchemy,imgs/Alchemy/id13445.png,id13445,Elixir of Superior Defense,recipe,265,Use: Increases armor by 450 for 60 minutes. ,1,None,Common,
69,Alchemy,imgs/Alchemy/id13447.png,id13447,Elixir of the Sages,recipe,270,Use: Increases Intellect and Spirit by 18 for 60 minutes. ,1,None,Common,
70,Alchemy,imgs/Alchemy/id13446.png,id13446,Major Healing Potion,recipe,275,Use: Restores 1050 to 1750 health. ,1,None,Common,
71,Alchemy,imgs/Alchemy/id13453.png,id13453,Elixir of Brute Force,recipe,275,Use: Increases Strength and Stamina by 18 for 60 minutes. ,1,None,Common,
72,Alchemy,imgs/Alchemy/id20007.png,id20007,Mageblood Potion,recipe,275,Use: Regenerate 12 mana per 5 sec for 60 minutes. ,1,None,Common,
73,Alchemy,imgs/Alchemy/id20002.png,id20002,Greater Dreamless Sleep Potion,recipe,275,Use: Puts the imbiber in a dreamless sleep for 12 seconds.  During that time the imbiber heals 2100 health and 2100 mana. ,1,None,Common,
74,Alchemy,imgs/Alchemy/id13455.png,id13455,Greater Stoneshield Potion,recipe,280,Use: Increases armor by 2000 for 2 minutes. ,1,None,Common,
75,Alchemy,imgs/Alchemy/id13452.png,id13452,Elixir of the Mongoose,recipe,280,Use: Increases Agility by 25 and chance to get a critical hit by 2% for 60 minutes. ,1,None,Common,
76,Alchemy,imgs/Alchemy/id13462.png,id13462,Purification Potion,recipe,285,"Use: Attempts to remove one Curse, one Disease and one Poison from the Imbiber. ",1,None,Common,
77,Alchemy,imgs/Alchemy/id13454.png,id13454,Greater Arcane Elixir,recipe,285,Use: Increases spell damage by up to 35 for 60 minutes. ,1,None,Common,
78,Alchemy,imgs/Alchemy/id20008.png,id20008,Living Action Potion,recipe,285,Use: Makes you immune to Stun and Movement Impairing effects for the next 5 seconds.  Also removes existing Stun and Movement Impairing effects. ,1,None,Common,
79,Alchemy,imgs/Alchemy/id13457.png,id13457,Greater Fire Protection Potion,recipe,290,Use: Absorbs 1950 to 3250 fire damage.  Lasts 60 minutes. ,1,None,Common,
80,Alchemy,imgs/Alchemy/id13456.png,id13456,Greater Frost Protection Potion,recipe,290,Use: Absorbs 1950 to 3250 frost damage.  Lasts 60 minutes. ,1,None,Common,
81,Alchemy,imgs/Alchemy/id13458.png,id13458,Greater Nature Protection Potion,recipe,290,Use: Absorbs 1950 to 3250 nature damage.  Lasts 60 minutes. ,1,None,Common,
82,Alchemy,imgs/Alchemy/id13461.png,id13461,Greater Arcane Protection Potion,recipe,290,Use: Absorbs 1950 to 3250 arcane damage.  Lasts 60 minutes. ,1,None,Common,
83,Alchemy,imgs/Alchemy/id13459.png,id13459,Greater Shadow Protection Potion,recipe,290,Use: Absorbs 1950 to 3250 shadow damage.  Lasts 60 minutes. ,1,None,Common,
84,Alchemy,imgs/Alchemy/id20004.png,id20004,Major Troll's Blood Potion,recipe,290,Use: Regenerate 20 health every 5 sec for 60 minutes. ,1,None,Common,
85,Alchemy,imgs/Alchemy/id13444.png,id13444,Major Mana Potion,recipe,295,Use: Restores 1350 to 2250 mana. ,1,None,Common,
86,Alchemy,imgs/Alchemy/id13503.png,id13503,Alchemist's Stone,trainer,300,Passive: Increases the effects that healing and mana potions have on the wearer by 33%. ,1,Trade Goods,Epic,Trinket
87,Alchemy,imgs/Alchemy/id13506.png,id13506,Flask of Petrification,recipe,300,"Use: You turn to stone, protecting you from all physical attacks and spells for 60 seconds, but during that time you cannot attack, move or cast spells.  You can only have the effect of one flask at a time. ",1,None,Common,
88,Alchemy,imgs/Alchemy/id13510.png,id13510,Flask of the Titans,recipe,300,Use: Increases the player's maximum health by 1200 for 120 minutes.  You can only have the effect of one flask at a time.  This effect persists though death. ,1,None,Common,
89,Alchemy,imgs/Alchemy/id13511.png,id13511,Flask of Distilled Wisdom,recipe,300,Use: Increases the player's maximum mana by 2000 for 120 minutes.  You can only have the effect of one flask at a time.  This effect persists though death. ,1,None,Common,
90,Alchemy,imgs/Alchemy/id13512.png,id13512,Flask of Supreme Power,recipe,300,Use: Increases damage done by magical spells and effects by up to 150 for 120 minutes.  You can only have the effect of one flask at a time.  This effect persists though death. ,1,None,Common,
91,Alchemy,imgs/Alchemy/id13513.png,id13513,Flask of Chromatic Resistance,recipe,300,Use: Increases your resistance to all schools of magic by 25 for 120 minutes.  You can only have the effect of one flask at a time.  This effect persists though death. ,1,None,Common,
92,Alchemy,imgs/Alchemy/id18253.png,id18253,Major Rejuvenation Potion,recipe,300,Use: Restores 1440 to 1760 mana and health. ,1,None,Common,
93,Alchemy,imgs/Alchemy/id19931.png,id19931,Gurubashi Mojo Madness,trainer,0,Use: Extinguishes the Brazier of Madness. ,3,Quest Item,Rare,
94,Alchemy,app/static/imgs/Alchemy/id21546.png,id21546,Elixir of Greater Firepower,recipe,0,Use: Increases spell fire damage by up to 40 for 30 minutes. ,1,None,Common,
95,Blacksmithing,imgs/Blacksmithing/id2862.png,id2862,Rough Sharpening Stone,trainer,1,Use: Increase sharp weapon damage by 2 for 30 minutes. ,1,Trade Goods,Common,
96,Blacksmithing,imgs/Blacksmithing/id3239.png,id3239,Rough Weightstone,trainer,25,Use: Increase the damage of a blunt weapon by 2 for 30 minutes. ,1,Trade Goods,Common,
97,Blacksmithing,imgs/Blacksmithing/id3240.png,id3240,Coarse Weightstone,trainer,65,Use: Increase the damage of a blunt weapon by 3 for 30 minutes. ,1,Trade Goods,Common,
98,Blacksmithing,imgs/Blacksmithing/id2863.png,id2863,Coarse Sharpening Stone,trainer,65,Use: Increase sharp weapon damage by 3 for 30 minutes. ,1,Trade Goods,Common,
99,Blacksmithing,imgs/Blacksmithing/id15869.png,id15869,Silver Skeleton Key,trainer,100,Use: Allows opening of simple locks.  The skeleton key is consumed in the process. ,2,Trade Goods,Uncommon,
100,Blacksmithing,imgs/Blacksmithing/id3241.png,id3241,Heavy Weightstone,trainer,125,Use: Increase the damage of a blunt weapon by 4 for 30 minutes. ,1,Trade Goods,Common,
101,Blacksmithing,imgs/Blacksmithing/id2871.png,id2871,Heavy Sharpening Stone,trainer,125,Use: Increase sharp weapon damage by 4 for 30 minutes. ,1,Trade Goods,Common,
102,Blacksmithing,imgs/Blacksmithing/id6042.png,id6042,Iron Shield Spike,recipe,150,Use: Attaches an Iron Spike to your shield that deals damage every time you block with it. ,1,Trade Goods,Common,
103,Blacksmithing,imgs/Blacksmithing/id15870.png,id15870,Golden Skeleton Key,trainer,150,Use: Allows opening of standard locks.  The skeleton key is consumed in the process. ,2,Trade Goods,Uncommon,
104,Blacksmithing,imgs/Blacksmithing/id6043.png,id6043,Iron Counterweight,recipe,165,"Use: Attaches a counterweight to a two-handed sword, mace, axe or polearm making it 3% faster. ",1,Trade Goods,Common,
105,Blacksmithing,imgs/Blacksmithing/id12259.png,id12259,Glinting Steel Dagger,trainer,180,Passive: +12 Attack Power. ,1,Dagger,Uncommon,One-Hand
106,Blacksmithing,imgs/Blacksmithing/id6041.png,id6041,Steel Weapon Chain,recipe,190,"Use: Attaches a chain to your weapon, making it impossible to disarm. ",1,Trade Goods,Common,
107,Blacksmithing,imgs/Blacksmithing/id12260.png,id12260,Searing Golden Blade,recipe,190,Passive: Increases damage done by Fire spells and effects by up to 10. ,1,Dagger,Uncommon,One-Hand
108,Blacksmithing,imgs/Blacksmithing/id17704.png,id17704,Edge of Winter,recipe,190,Chance On Hit: Blasts a target for 30 Frost damage. ,1,Axe,Uncommon,Main Hand
109,Blacksmithing,imgs/Blacksmithing/id3854.png,id3854,Frost Tiger Blade,recipe,200,Passive: Improves your chance to get a critical strike by 1%. ,1,Two-Hand Sword,Uncommon,
110,Blacksmithing,imgs/Blacksmithing/id7964.png,id7964,Solid Sharpening Stone,trainer,200,Use: Increase sharp weapon damage by 6 for 30 minutes. ,1,Trade Goods,Common,
111,Blacksmithing,imgs/Blacksmithing/id7965.png,id7965,Solid Weightstone,trainer,200,Use: Increase the damage of a blunt weapon by 6 for 30 minutes. ,1,Trade Goods,Common,
112,Blacksmithing,imgs/Blacksmithing/id15871.png,id15871,Truesilver Skeleton Key,trainer,200,Use: Allows opening of difficult locks.  The skeleton key is consumed in the process. ,2,Trade Goods,Uncommon,
113,Blacksmithing,imgs/Blacksmithing/id7920.png,id7920,Mithril Scale Pants,trainer,210,Passive: Increases your chance to dodge an attack by 1%. ,1,Mail,Uncommon,Legs
114,Blacksmithing,imgs/Blacksmithing/id7967.png,id7967,Mithril Shield Spike,recipe,215,Use: Attaches a Mithril Spike to your shield that deals damage every time you block with it. ,1,Trade Goods,Uncommon,
115,Blacksmithing,imgs/Blacksmithing/id7926.png,id7926,Ornate Mithril Pants,recipe,220,Passive: Increases your chance to dodge an attack by 1%. ,1,Plate,Uncommon,Legs
116,Blacksmithing,imgs/Blacksmithing/id7927.png,id7927,Ornate Mithril Gloves,recipe,220,Passive: Improves your chance to get a critical strike by 1%. ,1,Plate,Uncommon,Hands
117,Blacksmithing,imgs/Blacksmithing/id7928.png,id7928,Ornate Mithril Shoulders,recipe,225,Passive: Increases your chance to dodge an attack by 1%. ,1,Plate,Uncommon,Shoulder
118,Blacksmithing,imgs/Blacksmithing/id7969.png,id7969,Mithril Spurs,recipe,235,Use: Attaches spurs to your boots that increase your mounted movement speed slightly. ,1,Trade Goods,Uncommon,
119,Blacksmithing,imgs/Blacksmithing/id7935.png,id7935,Ornate Mithril Breastplate,trainer,235,Passive: Improves your chance to get a critical strike by 1%. ,1,Plate,Uncommon,Chest
120,Blacksmithing,imgs/Blacksmithing/id7954.png,id7954,The Shatterer,trainer,235,Chance On Hit: Disarm target's weapon for 10 seconds. ,1,Mace,Rare,Main Hand
121,Blacksmithing,imgs/Blacksmithing/id7936.png,id7936,Ornate Mithril Boots,trainer,240,Passive: Increases your chance to dodge an attack by 1%. ,1,Plate,Uncommon,Feet
122,Blacksmithing,imgs/Blacksmithing/id7939.png,id7939,Truesilver Breastplate,trainer,245,Passive: When struck in combat has a 3% chance to heal you for 60 to 100. ,1,Plate,Rare,Chest
123,Blacksmithing,imgs/Blacksmithing/id7937.png,id7937,Ornate Mithril Helm,trainer,245,Passive: Improves your chance to get a critical strike by 1%. ,1,Plate,Uncommon,Head
124,Blacksmithing,imgs/Blacksmithing/id7961.png,id7961,Phantom Blade,trainer,245,"Chance On Hit: Decrease the armor of the target by 100 for 20 seconds.  While affected, the target cannot stealth or turn invisible. ",1,Sword,Rare,Main Hand
125,Blacksmithing,imgs/Blacksmithing/id7959.png,id7959,Blight,trainer,250,Chance On Hit: Diseases a target for 50 Nature damage and an additional 180 damage over 60 seconds. ,1,Polearm,Rare,
126,Blacksmithing,imgs/Blacksmithing/id12404.png,id12404,Dense Sharpening Stone,trainer,250,Use: Increase sharp weapon damage by 8 for 30 minutes. ,1,Trade Goods,Common,
127,Blacksmithing,imgs/Blacksmithing/id12643.png,id12643,Dense Weightstone,trainer,250,Use: Increase the damage of a blunt weapon by 8 for 30 minutes. ,1,Trade Goods,Common,
128,Blacksmithing,imgs/Blacksmithing/id7960.png,id7960,Truesilver Champion,trainer,260,Chance On Hit: Protects the caster with a holy shield. ,1,Two-Hand Sword,Rare,
129,Blacksmithing,imgs/Blacksmithing/id12645.png,id12645,Thorium Shield Spike,recipe,275,Use: Attaches a Thorium Spike to your shield that deals damage every time you block with it. ,1,Trade Goods,Uncommon,
130,Blacksmithing,imgs/Blacksmithing/id15872.png,id15872,Arcanite Skeleton Key,trainer,275,Use: Allows opening of hard locks.  The skeleton key is consumed in the process. ,2,Trade Goods,Uncommon,
131,Blacksmithing,imgs/Blacksmithing/id12775.png,id12775,Huge Thorium Battleaxe,recipe,280,Passive: Increased Two-handed Axes +10. ,1,Two-Hand Axe,Uncommon,
132,Blacksmithing,imgs/Blacksmithing/id12792.png,id12792,Volcanic Hammer,recipe,290,Chance On Hit: Hurls a fiery ball that causes 100 to 128 Fire damage and an additional 18 damage over 6 seconds. ,1,Mace,Uncommon,Main Hand
133,Blacksmithing,imgs/Blacksmithing/id19043.png,id19043,Heavy Timbermaw Belt,recipe,290,Passive: +42 Attack Power. ,1,Mail,Rare,Waist
134,Blacksmithing,imgs/Blacksmithing/id17193.png,id17193,Sulfuron Hammer,recipe,300,Chance On Hit: Hurls a fiery ball that causes 83 to 101 Fire damage and an additional 16 damage over 8 seconds. ,1,Two-Hand Mace,Epic,
135,Blacksmithing,imgs/Blacksmithing/id18262.png,id18262,Elemental Sharpening Stone,recipe,300,Use: Increase critical chance on a melee weapon by 2% for 30 minutes. ,1,Trade Goods,Uncommon,
136,Blacksmithing,imgs/Blacksmithing/id19048.png,id19048,Heavy Timbermaw Boots,recipe,300,Passive: +20 Attack Power. ,1,Mail,Rare,Feet
137,Blacksmithing,imgs/Blacksmithing/id19166.png,id19166,Black Amnesty,recipe,300,Chance On Hit: Reduce your threat to the current target making them less likely to attack you. ,1,Dagger,Epic,One-Hand
138,Blacksmithing,imgs/Blacksmithing/id19167.png,id19167,Blackfury,recipe,300,Passive: Improves your chance to get a critical strike by 1%. ,1,Polearm,Epic,
139,Blacksmithing,imgs/Blacksmithing/id19170.png,id19170,Ebon Hand,recipe,300,Chance On Hit: Sends a shadowy bolt at the enemy causing 125 to 275 Shadow damage. ,1,Mace,Epic,One-Hand
140,Blacksmithing,imgs/Blacksmithing/id19168.png,id19168,Blackguard,recipe,300,Passive: Increases your chance to parry an attack by 1%. ,1,Sword,Epic,One-Hand
141,Blacksmithing,imgs/Blacksmithing/id19169.png,id19169,Nightfall,recipe,300,Chance On Hit: Reduces enemy's spell resistances by 60 for 5 seconds. ,1,Two-Hand Axe,Epic,
142,Blacksmithing,imgs/Blacksmithing/id19690.png,id19690,Bloodsoul Breastplate,recipe,300,Passive: Improves your chance to get a critical strike by 2%. ,1,Mail,Rare,Chest
143,Blacksmithing,imgs/Blacksmithing/id19692.png,id19692,Bloodsoul Gauntlets,recipe,300,Passive: Improves your chance to get a critical strike by 1%. ,1,Mail,Rare,Hands
144,Blacksmithing,imgs/Blacksmithing/id19693.png,id19693,Darksoul Breastplate,recipe,300,Passive: Improves your chance to hit by 1%. ,1,Plate,Rare,Chest
145,Blacksmithing,imgs/Blacksmithing/id19694.png,id19694,Darksoul Leggings,recipe,300,Passive: Improves your chance to hit by 2%. ,1,Plate,Rare,Legs
146,Blacksmithing,imgs/Blacksmithing/id19695.png,id19695,Darksoul Shoulders,recipe,300,Passive: Improves your chance to hit by 1%. ,1,Plate,Rare,Shoulder
147,Blacksmithing,imgs/Blacksmithing/id20550.png,id20550,Darkrune Breastplate,recipe,300,Passive: Increases your chance to dodge an attack by 1%. ,1,Plate,Rare,Chest
148,Blacksmithing,imgs/Blacksmithing/id20549.png,id20549,Darkrune Gauntlets,recipe,300,Passive: Increases your chance to block attacks with a shield by 2%. ,1,Plate,Rare,Hands
149,Blacksmithing,imgs/Blacksmithing/id20551.png,id20551,Darkrune Helm,recipe,300,Passive: Improves your chance to get a critical strike by 1%. ,1,Plate,Rare,Head
150,Blacksmithing,imgs/Blacksmithing/id22197.png,id22197,Heavy Obsidian Belt,recipe,0,Passive: +5 All Resistances. ,1,Plate,Rare,Waist
151,Blacksmithing,imgs/Blacksmithing/id22195.png,id22195,Light Obsidian Belt,recipe,0,Passive: +32 Attack Power. ,1,Mail,Rare,Waist
152,Blacksmithing,imgs/Blacksmithing/id22198.png,id22198,Jagged Obsidian Shield,recipe,0,Passive: Increases your chance to block attacks with a shield by 2%. ,1,Shield,Epic,
153,Blacksmithing,imgs/Blacksmithing/id22194.png,id22194,Black Grasp of the Destroyer,recipe,0,Passive: +28 Attack Power. ,1,Mail,Epic,Hands
154,Blacksmithing,imgs/Blacksmithing/id22191.png,id22191,Obsidian Mail Tunic,recipe,0,Passive: +76 Attack Power. ,1,Mail,Epic,Chest
155,Blacksmithing,imgs/Blacksmithing/id22196.png,id22196,Thick Obsidian Breastplate,recipe,0,Passive: When struck by a damage spell you have a 30% chance of getting a 6 seconds spell shield that absorbs 300 to 500 of that school of damage. ,1,Plate,Epic,Chest
156,Blacksmithing,imgs/Blacksmithing/id22384.png,id22384,Persuader,recipe,0,Passive: Improves your chance to hit by 1%. ,1,Mace,Epic,Main Hand
157,Blacksmithing,imgs/Blacksmithing/id22385.png,id22385,Titanic Leggings,recipe,0,Passive: Improves your chance to hit by 2%. ,1,Plate,Epic,Legs
158,Blacksmithing,imgs/Blacksmithing/id22383.png,id22383,Sageblade,recipe,0,Passive: Increases damage and healing done by magical spells and effects by up to 20. ,1,Sword,Epic,Main Hand
159,Blacksmithing,imgs/Blacksmithing/id11608.png,id11608,Dark Iron Pulverizer,recipe,265,Chance On Hit: Stuns target for 8 seconds. ,1,Two-Hand Mace,Rare,
